Player,Team,Role,Matches,Runs,StrikeRate,Average,Wickets,Economy,Source
Trent Boult,MI,Bowler,16,2,66.66,2.0,22,8.96,IPL Official Website
Jofra Archer,RR,Bowler,12,63,126.0,10.5,11,9.47,IPL Official Website
Josh Hazlewood,RCB,Bowler,12,0,0.0,0.0,22,8.77,IPL Official Website
Mohammed Siraj,GT,Batter,15,3,75.0,-,16,9.24,IPL Official Website
Shivam Dube,CSK,Batter,14,357,132.22,32.45,0,0.0,IPL Official Website
Varun Chakaravarthy,KKR,Bowler,13,1,100.0,-,17,7.66,IPL Official Website
Sunil Narine,KKR,All-rounder,12,246,170.83,22.36,12,7.8,IPL Official Website
Andre Russell,KKR,All-rounder,13,167,163.72,18.56,8,11.94,IPL Official Website
Mitchell Starc,DC,Bowler,11,6,60.0,3.0,14,10.16,IPL Official Website
Phil Salt,RCB,Batter/Wicketkeeper,13,403,175.98,33.58,0,0.0,IPL Official Website
Ishan Kishan,SRH,Batter/Wicketkeeper,14,354,152.58,35.4,0,0.0,IPL Official Website
Ravi Bishnoi,LSG,Bowler,11,13,81.25,6.5,9,10.83,IPL Official Website
Mayank Yadav,LSG,Bowler,2,0,0.0,0.0,2,12.5,IPL Official Website
Marcus Stoinis,PBKS,All-rounder,13,160,186.04,26.67,1,12.35,IPL Official Website
Shimron Hetmyer,RR,Batter,14,239,145.73,21.73,0,0.0,IPL Official Website
Rajat Patidar,RCB,Batter,15,312,143.77,24.0,0,0.0,IPL Official Website
Jitesh Sharma,RCB,Batter,15,261,176.35,37.29,0,0.0,IPL Official Website
T. Natarajan,DC,Bowler,2,0,0.0,0.0,1,12.72,IPL Official Website
Kagiso Rabada,GT,Bowler,4,9,112.5,9.0,2,11.57,IPL Official Website
Bhuvneshwar Kumar,RCB,Bowler,14,14,56.0,4.67,17,9.28,IPL Official Website
Noor Ahmad,CSK,Bowler,14,7,41.17,1.75,24,8.16,IPL Official Website
Tristan Stubbs,DC,Batter,14,300,150.75,50.0,0,0.0,IPL Official Website
Mohammad Shami,SRH,Bowler,9,10,100.0,10.0,6,11.23,IPL Official Website
Ravichandran Ashwin,CSK,Bowler,9,33,110.0,8.25,7,9.12,IPL Official Website
Avesh Khan,LSG,Bowler,13,21,175.0,21.0,13,10.28,IPL Official Website
Prasidh Krishna,GT,Bowler,15,0,0.0,0.0,25,8.27,IPL Official Website
Deepak Chahar,MI,Bowler,14,37,148.0,37.0,11,9.17,IPL Official Website
Jake Fraser - McGurk,DC,Batter,6,55,105.76,9.17,0,0.0,IPL Official Website
Liam Livingstone,RCB,All-rounder,10,112,133.33,16.0,2,8.44,IPL Official Website
Sai Sudharsan,GT,Batter,15,759,156.17,54.21,0,0.0,IPL Official Website
Mukesh Kumar,DC,Bowler,12,0,0.0,0.0,12,10.32,IPL Official Website
Akash Deep,LSG,Bowler,6,6,300.0,6.0,3,12.05,IPL Official Website
N Tilak Varma,MI,Batter,16,343,138.3,31.18,0,0.0,IPL Official Website
Harshal Patel,SRH,All-rounder,13,21,80.76,10.5,16,9.8,IPL Official Website
David Miller,LSG,Batter,11,153,127.5,30.6,0,0.0,IPL Official Website
Marco Jansen,PBKS,All-rounder,14,75,119.04,18.75,16,9.2,IPL Official Website
Anrich Nortje,KKR,Bowler,2,0,0.0,0.0,1,11.85,IPL Official Website
Tushar Deshpande,RR,Bowler,10,7,87.5,7.0,9,10.62,IPL Official Website
Devon Conway,CSK,Batter,6,156,131.09,26.0,0,0.0,IPL Official Website
Harry Brook,DC,Batter,0,0,0.0,0.0,0,0.0,IPL Official Website
Rasikh Salam Dar,RCB,Bowler,0,0,0.0,0.0,0,0.0,IPL Official Website
Nitish Kumar Reddy,SRH,All-rounder,13,182,118.95,22.75,2,9.4,IPL Official Website
Krunal Pandya,RCB,All-rounder,15,109,126.74,18.17,17,8.23,IPL Official Website
Shashank Singh,PBKS,Batter,17,350,153.5,50.0,0,0.0,IPL Official Website
Naman Dhir,MI,All-rounder,16,252,182.6,31.5,0,0.0,IPL Official Website
Will Jacks,MI,All-rounder,13,233,135.46,23.3,6,8.57,IPL Official Website
Wanindu Hasaranga,RR,Bowler,11,9,60.0,1.8,11,9.04,IPL Official Website
Yash Dayal,RCB,Bowler,15,4,50.0,2.0,13,9.59,IPL Official Website
Khaleel Ahmed,CSK,Bowler,14,1,50.0,-,15,9.57,IPL Official Website
Allah Ghazanfar,MI,Bowler,0,0,0.0,0.0,0,0.0,IPL Official Website
Maheesh Theekshana,RR,Bowler,11,10,37.03,5.0,11,9.76,IPL Official Website
Abdul Samad,LSG,All-rounder,13,164,176.34,20.5,0,0.0,IPL Official Website
Glenn Maxwell,PBKS,All-rounder,7,48,97.95,8.0,4,8.46,IPL Official Website
Nehal Wadhera,PBKS,Batter,16,369,145.84,30.75,0,0.0,IPL Official Website
Nitish Rana,RR,All-rounder,11,217,161.94,21.7,0,0.0,IPL Official Website
MS Dhoni,CSK,Batter/Wicketkeeper,14,196,135.17,24.5,0,0.0,IPL Official Website
Rachin Ravindra,CSK,All-rounder,8,191,128.18,27.29,0,0.0,IPL Official Website
Abhishek Porel,DC,Batter/Wicketkeeper,0,0,0.0,0.0,0,0.0,IPL Official Website
Rahul Tewatia,GT,All-rounder,15,99,167.79,12.38,0,0.0,IPL Official Website
Shahrukh Khan,GT,Batter,15,179,179.0,29.83,1,13.0,IPL Official Website
Harshit Rana,KKR,Bowler,13,57,107.54,14.25,15,10.18,IPL Official Website
Ramandeep Singh,KKR,Batter,11,47,134.28,9.4,0,0.0,IPL Official Website
Mohsin Khan,LSG,Bowler,0,0,0.0,0.0,0,0.0,IPL Official Website
Ayush Badoni,LSG,Batter,14,329,148.19,32.9,2,7.8,IPL Official Website
Prabhsimran Singh,PBKS,Batter,17,549,160.52,32.29,0,0.0,IPL Official Website
Sandeep Sharma,RR,Bowler,10,6,120.0,-,9,9.89,IPL Official Website
Ashutosh Sharma,DC,All-rounder,13,204,160.62,29.14,0,0.0,IPL Official Website
Priyansh Arya,PBKS,Batter,17,475,179.24,27.94,0,0.0,IPL Official Website
Quinton De Kock,KKR,Batter/Wicketkeeper,8,152,129.91,21.71,0,0.0,IPL Official Website
Rahul Tripathi,CSK,Batter,5,55,96.49,11.0,0,0.0,IPL Official Website
Anshul Kamboj,CSK,All-rounder,8,14,116.66,7.0,8,8.0,IPL Official Website
Mitchell Marsh,LSG,All-rounder,13,627,163.7,48.23,0,0.0,IPL Official Website
Washington Sundar,GT,All-rounder,6,133,166.25,26.6,2,10.24,IPL Official Website
Rahul Chahar,SRH,Bowler,0,0,0.0,0.0,0,0.0,IPL Official Website
Abhinav Manohar,SRH,All-rounder,8,61,100.0,12.2,0,0.0,IPL Official Website
Angkrish Raghuvanshi,KKR,All-rounder,12,300,139.53,33.33,0,0.0,IPL Official Website
Tim David,RCB,All-rounder,12,187,185.14,62.33,0,0.0,IPL Official Website
Spencer Johnson,KKR,Bowler,4,2,50.0,-,1,11.73,IPL Official Website
Sherfane Rutherford,GT,Batter,13,291,157.29,32.33,0,0.0,IPL Official Website
Josh Inglis,PBKS,Batter,11,278,162.57,30.89,0,0.0,IPL Official Website
Suyash Sharma,RCB,Bowler,14,0,0.0,0.0,8,8.84,IPL Official Website
Jacob Bethell,RCB,All-rounder,2,67,171.79,33.5,0,0.0,IPL Official Website
Sam Curran,CSK,All-rounder,5,114,135.71,22.8,1,11.08,IPL Official Website
Gerald Coetzee,GT,Bowler,4,17,154.54,8.5,2,10.91,IPL Official Website
Shahbaz Ahmed,LSG,All-rounder,3,9,112.5,9.0,1,12.0,IPL Official Website
Azmatullah Omarzai,PBKS,All-rounder,9,57,139.02,14.25,8,10.33,IPL Official Website
Adam Zampa,SRH,Bowler,2,0,0.0,0.0,2,11.75,IPL Official Website
Gurjapneet Singh,CSK,Bowler,0,0,0.0,0.0,0,0.0,IPL Official Website
Mohit Sharma,DC,Bowler,8,1,33.33,1.0,2,10.28,IPL Official Website
Faf Du Plessis,DC,Batter,9,202,123.92,22.44,0,0.0,IPL Official Website
Sai Kishore,GT,All-rounder,15,5,50.0,1.67,19,9.24,IPL Official Website
Glenn Phillips,GT,All-rounder,0,0,0.0,0.0,0,0.0,IPL Official Website
Rahmanullah Gurbaz,KKR,Batter/Wicketkeeper,5,74,139.62,18.5,0,0.0,IPL Official Website
Moeen Ali,KKR,All-rounder,6,5,35.71,2.5,6,8.5,IPL Official Website
Aiden Markram,LSG,Batter,13,445,148.82,34.23,4,9.27,IPL Official Website
Mitchell Santner,MI,All-rounder,13,40,121.21,20.0,10,7.92,IPL Official Website
Lockie Ferguson,PBKS,Bowler,4,4,400.0,-,5,9.17,IPL Official Website
Fazalhaq Farooqi,RR,Bowler,5,2,100.0,-,0,0.0,IPL Official Website
Devdutt Padikkal,RCB,Batter,10,247,150.6,27.44,0,0.0,IPL Official Website
Vaibhav Arora,KKR,Bowler,12,0,0.0,0.0,17,10.11,IPL Official Website
Vyshak Vijaykumar,PBKS,Bowler,5,0,0.0,0.0,4,10.64,IPL Official Website
Deepak Hooda,CSK,Batter,7,31,75.6,6.2,0,0.0,IPL Official Website
Mahipal Lomror,GT,All-rounder,0,0,0.0,0.0,0,0.0,IPL Official Website
Yash Thakur,PBKS,Bowler,2,0,0.0,0.0,1,12.15,IPL Official Website
Nuwan Thushara,RCB,Bowler,1,0,0.0,0.0,1,6.5,IPL Official Website
Jamie Overton,CSK,All-rounder,3,15,214.28,-,0,0.0,IPL Official Website
Rovman Powell,KKR,Batter,2,5,100.0,5.0,0,0.0,IPL Official Website
Ajinkya Rahane,KKR,Batter,13,390,147.72,35.45,0,0.0,IPL Official Website
Harpreet Brar,PBKS,All-rounder,8,11,84.61,11.0,10,8.63,IPL Official Website
Romario Shepherd,RCB,All-rounder,8,70,291.66,35.0,6,10.78,IPL Official Website
Simarjeet Singh,SRH,Bowler,4,3,42.85,1.5,2,14.1,IPL Official Website
Mohd Arshad Khan,GT,All-rounder,9,23,121.05,11.5,6,10.33,IPL Official Website
Gurnoor Brar,GT,Bowler,0,0,0.0,0.0,0,0.0,IPL Official Website
Nathan Ellis,CSK,Bowler,1,0,0.0,0.0,1,9.5,IPL Official Website
Aaron Hardie,PBKS,All-rounder,0,0,0.0,0.0,0,0.0,IPL Official Website
Vijay Shankar,CSK,All-rounder,6,118,129.67,39.33,0,0.0,IPL Official Website
Akash Madhwal,RR,Bowler,4,4,44.44,-,4,11.06,IPL Official Website
Eshan Malinga,SRH,Bowler,7,0,0.0,0.0,13,8.92,IPL Official Website
Vaibhav Suryavanshi,RR,Batter,7,252,206.55,36.0,0,0.0,IPL Official Website
Ryan Rickelton,MI,Batter,14,388,150.97,29.85,0,0.0,IPL Official Website
Lungisani Ngidi,RCB,Bowler,2,0,0.0,0.0,4,10.12,IPL Official Website
Jaydev Unadkat,SRH,Bowler,7,0,0.0,0.0,11,7.34,IPL Official Website
Brydon Carse,SRH,All-rounder,0,0,0.0,0.0,0,0.0,IPL Official Website
Sameer Rizvi,DC,All-rounder,5,121,153.16,40.33,0,0.0,IPL Official Website
Vishnu Vinod,PBKS,Batter/Wicketkeeper,0,0,0.0,0.0,0,0.0,IPL Official Website
Kuldeep Sen,PBKS,Bowler,0,0,0.0,0.0,0,0.0,IPL Official Website
Xavier Bartlett,PBKS,Bowler,4,11,73.33,11.0,2,9.6,IPL Official Website
Shubham Dubey,RR,Batter,9,106,160.6,26.5,0,0.0,IPL Official Website
Dushmantha Chameera,DC,Bowler,6,10,71.42,-,4,11.4,IPL Official Website
Donovan Ferreira,DC,Batter,1,1,33.33,1.0,0,0.0,IPL Official Website
Ishant Sharma,GT,Bowler,7,0,0.0,0.0,4,11.18,IPL Official Website
Jayant Yadav,GT,All-rounder,0,0,0.0,0.0,0,0.0,IPL Official Website
Karim Janat,GT,All-rounder,0,0,0.0,0.0,0,0.0,IPL Official Website
Manish Pandey,KKR,Batter,3,92,141.53,46.0,0,0.0,IPL Official Website
Umran Malik,KKR,Bowler,0,0,0.0,0.0,0,0.0,IPL Official Website
M Siddharth,LSG,Bowler,2,0,0.0,0.0,2,9.57,IPL Official Website
Shamar Joseph,LSG,Bowler,0,0,0.0,0.0,0,0.0,IPL Official Website
Matthew Breetzke,LSG,Batter,1,14,116.66,14.0,0,0.0,IPL Official Website
Reece Topley,MI,Bowler,1,0,0.0,0.0,0,13.33,IPL Official Website
Lizaad Williams,MI,Bowler,0,0,0.0,0.0,0,0.0,IPL Official Website
Kwena Maphaka,RR,Bowler,2,8,400.0,-,1,10.8,IPL Official Website
Kamindu Mendis,SRH,All-rounder,5,92,133.33,30.67,2,8.57,IPL Official Website
Kumar Kushagra,GT,Batter/Wicketkeeper,0,0,0.0,0.0,0,0.0,IPL Official Website
Robin Minz,MI,Batter/Wicketkeeper,2,6,40.0,3.0,0,0.0,IPL Official Website
Vansh Bedi,CSK,Batter,0,0,0.0,0.0,0,0.0,IPL Official Website
Karun Nair,DC,Batter,8,198,172.17,24.75,0,0.0,IPL Official Website
Vipraj Nigam,DC,All-rounder,14,142,179.74,20.29,11,9.12,IPL Official Website
Karn Sharma,MI,Bowler,6,1,100.0,-,7,8.53,IPL Official Website
Swapnil Singh,RCB,All-rounder,0,0,0.0,0.0,0,0.0,IPL Official Website
Madhav Tiwari,DC,All-rounder,1,3,75.0,3.0,0,0.0,IPL Official Website
Anukul Roy,KKR,All-rounder,1,0,0.0,0.0,1,6.75,IPL Official Website
Zeeshan Ansari,SRH,Bowler,10,0,0.0,0.0,6,9.84,IPL Official Website
Yudhvir Singh Charak,RR,All-rounder,4,0,0.0,0.0,4,11.9,IPL Official Website
Shaik Rasheed,CSK,Batter,5,71,112.69,14.2,0,0.0,IPL Official Website
Mukesh Choudhary,CSK,Bowler,2,0,0.0,0.0,1,11.83,IPL Official Website
Ramakrishna Ghosh,CSK,All-rounder,0,0,0.0,0.0,0,0.0,IPL Official Website
Kamlesh Nagarkoti,CSK,Bowler,0,0,0.0,0.0,0,0.0,IPL Official Website
Shreyas Gopal,CSK,Bowler,0,0,0.0,0.0,0,0.0,IPL Official Website
Andre Siddarth,CSK,Batter,0,0,0.0,0.0,0,0.0,IPL Official Website
Darshan Nalkande,DC,All-rounder,0,0,0.0,0.0,0,0.0,IPL Official Website
Ajay Mandal,DC,All-rounder,0,0,0.0,0.0,0,0.0,IPL Official Website
Manvanth Kumar L,DC,All-rounder,0,0,0.0,0.0,0,0.0,IPL Official Website
Tripurana Vijay,DC,All-rounder,0,0,0.0,0.0,0,0.0,IPL Official Website
Nishant Sindhu,GT,All-rounder,0,0,0.0,0.0,0,0.0,IPL Official Website
Anuj Rawat,GT,Batter/Wicketkeeper,0,0,0.0,0.0,0,0.0,IPL Official Website
Manav Suthar,GT,Bowler,0,0,0.0,0.0,0,0.0,IPL Official Website
Kulwant Khejroliya,GT,Bowler,1,0,0.0,0.0,1,9.66,IPL Official Website
Mayank Markande,KKR,Bowler,0,0,0.0,0.0,0,0.0,IPL Official Website
Luvnith Sisodia,KKR,Batter,0,0,0.0,0.0,0,0.0,IPL Official Website
Aryan Juyal,LSG,Batter/Wicketkeeper,0,0,0.0,0.0,0,0.0,IPL Official Website
Himmat Singh,LSG,Batter,0,0,0.0,0.0,0,0.0,IPL Official Website
Digvesh Singh,LSG,Bowler,13,1,33.33,1.0,14,8.25,IPL Official Website
Akash Singh,LSG,Bowler,3,0,0.0,0.0,4,8.86,IPL Official Website
Prince Yadav,LSG,Bowler,6,5,50.0,-,3,9.85,IPL Official Website
Yuvraj Chaudhary,LSG,All-rounder,0,0,0.0,0.0,0,0.0,IPL Official Website
Rajvardhan Hangargekar,LSG,All-rounder,0,0,0.0,0.0,0,0.0,IPL Official Website
Arshin Kulkarni,LSG,All-rounder,0,0,0.0,0.0,0,0.0,IPL Official Website
Ashwani Kumar,MI,Bowler,7,0,0.0,0.0,11,11.31,IPL Official Website
Shrijith Krishnan,MI,Bowler,0,0,0.0,0.0,0,0.0,IPL Official Website
Raj Angad Bawa,MI,All-rounder,3,8,200.0,-,0,0.0,IPL Official Website
V Satyanarayana Penmetsa,MI,Bowler,2,1,100.0,-,1,13.25,IPL Official Website
Bevon Jacobs,MI,Batter,0,0,0.0,0.0,0,0.0,IPL Official Website
Arjun Tendulkar,MI,Bowler,0,0,0.0,0.0,0,0.0,IPL Official Website
Vignesh Puthur,MI,All-rounder,5,0,0.0,0.0,6,9.08,IPL Official Website
Harnoor Pannu,PBKS,Batter,0,0,0.0,0.0,0,0.0,IPL Official Website
Suryansh Shedge,PBKS,All-rounder,5,7,63.63,2.33,0,0.0,IPL Official Website
Musheer Khan,PBKS,All-rounder,1,0,0.0,0.0,1,13.5,IPL Official Website
Pyla Avinash,PBKS,Batter,0,0,0.0,0.0,0,0.0,IPL Official Website
Pravin Dubey,PBKS,All-rounder,1,0,0.0,0.0,1,10.0,IPL Official Website
Kumar Kartikeya,RR,Bowler,0,0,0.0,0.0,0,0.0,IPL Official Website
Ashok Sharma,RR,Bowler,0,0,0.0,0.0,0,0.0,IPL Official Website
Kunal Rathore,RR,Batter,0,0,0.0,0.0,0,0.0,IPL Official Website
Manoj Bhandage,RCB,Bowler,1,1,25.0,1.0,0,0.0,IPL Official Website
Swastik Chikara,RCB,Batter,0,0,0.0,0.0,0,0.0,IPL Official Website
Mohit Rathee,RCB,Bowler,0,0,0.0,0.0,0,0.0,IPL Official Website
Abhinandan Singh,RCB,Bowler,0,0,0.0,0.0,0,0.0,IPL Official Website
Atharva Taide,SRH,All-rounder,1,13,144.44,13.0,0,0.0,IPL Official Website
Aniket Verma,SRH,Batter,14,236,166.19,26.22,0,0.0,IPL Official Website
Sachin Baby,SRH,Batter,0,0,0.0,0.0,0,0.0,IPL Official Website
