Player,Team,Acquisition,Role,Type,Final_Player_Price_Cr,Source
Abhishek Porel,DC,Retained,Batter/Wicketkeeper,Indian (uncapped),4.00,IPL Official Website
Rahul Tewatia,GT,Retained,All-rounder,Indian (uncapped),4.00,IPL Official Website
Shahrukh Khan,GT,Retained,Batter,Indian (uncapped),4.00,IPL Official Website
Harshit Rana,KKR,Retained,Bowler,Indian (uncapped),4.00,IPL Official Website
Ramandeep Singh,KKR,Retained,Batter,Indian (uncapped),4.00,IPL Official Website
Mohsin Khan,LSG,Retained,Bowler,Indian (uncapped),4.00,IPL Official Website
Ayush Badoni,LSG,Retained,Batter,Indian (uncapped),4.00,IPL Official Website
Prabhsimran Singh,PBKS,Retained,Batter,Indian (uncapped),4.00,IPL Official Website
Sandeep Sharma,RR,Retained,Bowler,Indian (uncapped),4.00,IPL Official Website
Ashutosh Sharma,DC,Auction,All-rounder,Indian (uncapped),3.80,IPL Official Website
Priyansh Arya,PBKS,Auction,Batter,Indian (uncapped),3.80,IPL Official Website
Quinton De Kock,KKR,Auction,Batter/Wicketkeeper,Overseas (capped),3.60,IPL Official Website
Rahul Tripathi,CSK,Auction,Batter,Indian (capped),3.40,IPL Official Website
Anshul Kamboj,CSK,Auction,All-rounder,Indian (uncapped),3.40,IPL Official Website
Mitchell Marsh,LSG,Auction,All-rounder,Overseas (capped),3.40,IPL Official Website
Washington Sundar,GT,Auction,All-rounder,Indian (capped),3.20,IPL Official Website
Rahul Chahar,SRH,Auction,Bowler,Indian (capped),3.20,IPL Official Website
Abhinav Manohar,SRH,Auction,All-rounder,Indian (uncapped),3.20,IPL Official Website
Angkrish Raghuvanshi,KKR,Auction,All-rounder,Indian (uncapped),3.00,IPL Official Website
Tim David,RCB,Auction,All-rounder,Overseas (capped),3.00,IPL Official Website
Spencer Johnson,KKR,Auction,Bowler,Overseas (capped),2.80,IPL Official Website
Sherfane Rutherford,GT,Auction,Batter,Overseas (capped),2.60,IPL Official Website
Josh Inglis,PBKS,Auction,Batter,Overseas (capped),2.60,IPL Official Website
Suyash Sharma,RCB,Auction,Bowler,Indian (uncapped),2.60,IPL Official Website
Jacob Bethell,RCB,Auction,All-rounder,Overseas (capped),2.60,IPL Official Website
Sam Curran,CSK,Auction,All-rounder,Overseas (capped),2.40,IPL Official Website
Gerald Coetzee,GT,Auction,Bowler,Overseas (capped),2.40,IPL Official Website
Shahbaz Ahmed,LSG,Auction,All-rounder,Indian (capped),2.40,IPL Official Website
Azmatullah Omarzai,PBKS,Auction,All-rounder,Overseas (capped),2.40,IPL Official Website
Adam Zampa,SRH,Auction,Bowler,Overseas (capped),2.40,IPL Official Website
Gurjapneet Singh,CSK,Auction,Bowler,India (uncapped),2.20,IPL Official Website
Mohit Sharma,DC,Auction,Bowler,Indian (uncapped),2.20,IPL Official Website
Faf Du Plessis,DC,Auction,Batter,Overseas (capped),2.00,IPL Official Website
Sai Kishore,GT,RTM,All-rounder,Indian (capped),2.00,IPL Official Website
Glenn Phillips,GT,Auction,All-rounder,Overseas (capped),2.00,IPL Official Website
Rahmanullah Gurbaz,KKR,Auction,Batter/Wicketkeeper,Overseas (capped),2.00,IPL Official Website
Moeen Ali,KKR,Auction,All-rounder,Overseas (capped),2.00,IPL Official Website
Aiden Markram,LSG,Auction,Batter,Overseas (capped),2.00,IPL Official Website
Mitchell Santner,MI,Auction,All-rounder,Overseas (capped),2.00,IPL Official Website
Lockie Ferguson,PBKS,Auction,Bowler,Overseas (capped),2.00,IPL Official Website
Fazalhaq Farooqi,RR,Auction,Bowler,Overseas (capped),2.00,IPL Official Website
Devdutt Padikkal,RCB,Auction,Batter,Indian (capped),2.00,IPL Official Website
Vaibhav Arora,KKR,Auction,Bowler,Indian (uncapped),1.80,IPL Official Website
Vyshak Vijaykumar,PBKS,Auction,Bowler,Indian (uncapped),1.80,IPL Official Website
Deepak Hooda,CSK,Auction,Batter,India (capped),1.70,IPL Official Website
Mahipal Lomror,GT,Auction,All-rounder,Indian (uncapped),1.70,IPL Official Website
Yash Thakur,PBKS,Auction,Bowler,Indian (uncapped),1.60,IPL Official Website
Nuwan Thushara,RCB,Auction,Bowler,Overseas (capped),1.60,IPL Official Website
Jamie Overton,CSK,Auction,All-rounder,Overseas (capped),1.50,IPL Official Website
Rovman Powell,KKR,Auction,Batter,Overseas (capped),1.50,IPL Official Website
Ajinkya Rahane,KKR,Auction,Batter,Indian (capped),1.50,IPL Official Website
Harpreet Brar,PBKS,Auction,All-rounder,Indian (uncapped),1.50,IPL Official Website
Romario Shepherd,RCB,Auction,All-rounder,Overseas (capped),1.50,IPL Official Website
Simarjeet Singh,SRH,Auction,Bowler,Indian (uncapped),1.50,IPL Official Website
Mohd Arshad Khan,GT,Auction,All-rounder,Indian (uncapped),1.30,IPL Official Website
Gurnoor Brar,GT,Auction,Bowler,Indian (uncapped),1.30,IPL Official Website
Nathan Ellis,CSK,Auction,Bowler,Overseas (capped),2.00,IPL Official Website
Aaron Hardie,PBKS,Auction,All-rounder,Overseas (capped),1.25,IPL Official Website
Vijay Shankar,CSK,Auction,All-rounder,Indian (uncapped),1.20,IPL Official Website
Akash Madhwal,RR,Auction,Bowler,Indian (uncapped),1.20,IPL Official Website
Eshan Malinga,SRH,Auction,Bowler,Overseas (uncapped),1.20,IPL Official Website
Vaibhav Suryavanshi,RR,Auction,Batter,Indian (uncapped),1.10,IPL Official Website
Ryan Rickelton,MI,Auction,Batter,Overseas (capped),1.00,IPL Official Website
Lungisani Ngidi,RCB,Auction,Bowler,Overseas (capped),1.00,IPL Official Website
Jaydev Unadkat,SRH,Auction,Bowler,Indian (capped),1.00,IPL Official Website
Brydon Carse,SRH,Auction,All-rounder,Overseas (capped),1.00,IPL Official Website
Sameer Rizvi,DC,Auction,All-rounder,Indian (uncapped),0.95,IPL Official Website
Vishnu Vinod,PBKS,Auction,Batter/Wicketkeeper,Indian (uncapped),0.95,IPL Official Website
Kuldeep Sen,PBKS,Auction,Bowler,Indian (capped),0.80,IPL Official Website
Xavier Bartlett,PBKS,Auction,Bowler,Overseas (capped),0.80,IPL Official Website
Shubham Dubey,RR,Auction,Batter,Indian (uncapped),0.80,IPL Official Website
Dushmantha Chameera,DC,Auction,Bowler,Overseas (capped),0.75,IPL Official Website
Donovan Ferreira,DC,Auction,Batter,Overseas (capped),0.75,IPL Official Website
Ishant Sharma,GT,Auction,Bowler,Indian (capped),0.75,IPL Official Website
Jayant Yadav,GT,Auction,All-rounder,Indian (capped),0.75,IPL Official Website
Karim Janat,GT,Auction,All-rounder,Overseas (capped),0.75,IPL Official Website
Manish Pandey,KKR,Auction,Batter,Indian (capped),0.75,IPL Official Website
Umran Malik,KKR,Auction,Bowler,Indian (capped),0.75,IPL Official Website
M Siddharth,LSG,Auction,Bowler,Indian (uncapped),0.75,IPL Official Website
Shamar Joseph,LSG,RTM,Bowler,Overseas (capped),0.75,IPL Official Website
Matthew Breetzke,LSG,Auction,Batter,Overseas (capped),0.75,IPL Official Website
Reece Topley,MI,Auction,Bowler,Overseas (capped),0.75,IPL Official Website
Lizaad Williams,MI,Auction,Bowler,Overseas (capped),0.75,IPL Official Website
Kwena Maphaka,RR,Auction,Bowler,Overseas (capped),1.50,IPL Official Website
Kamindu Mendis,SRH,Auction,All-rounder,Overseas (capped),0.75,IPL Official Website
Kumar Kushagra,GT,Auction,Batter/Wicketkeeper,Indian (uncapped),0.65,IPL Official Website
Robin Minz,MI,Auction,Batter/Wicketkeeper,Indian (uncapped),0.65,IPL Official Website
Vansh Bedi,CSK,Auction,Batter,India (uncapped),0.55,IPL Official Website
Karun Nair,DC,Auction,Batter,Indian (uncapped),0.50,IPL Official Website
Vipraj Nigam,DC,Auction,All-rounder,Indian (uncapped),0.50,IPL Official Website
Karn Sharma,MI,Auction,Bowler,Indian (uncapped),0.50,IPL Official Website
Swapnil Singh,RCB,RTM,All-rounder,Indian (uncapped),0.50,IPL Official Website
Madhav Tiwari,DC,Auction,All-rounder,Indian (uncapped),0.40,IPL Official Website
Anukul Roy,KKR,Auction,All-rounder,Indian (uncapped),0.40,IPL Official Website
Zeeshan Ansari,SRH,Auction,Bowler,Indian (uncapped),0.40,IPL Official Website
Yudhvir Singh Charak,RR,Auction,All-rounder,Indian (uncapped),0.35,IPL Official Website
Shaik Rasheed,CSK,Auction,Batter,Indian (uncapped),0.30,IPL Official Website
Mukesh Choudhary,CSK,Auction,Bowler,Indian (uncapped),0.30,IPL Official Website
Ramakrishna Ghosh,CSK,Auction,All-rounder,India (uncapped),0.30,IPL Official Website
Kamlesh Nagarkoti,CSK,Auction,Bowler,India (uncapped),0.30,IPL Official Website
Shreyas Gopal,CSK,Auction,Bowler,India (uncapped),0.30,IPL Official Website
Andre Siddarth,CSK,Auction,Batter,India (uncapped),0.30,IPL Official Website
Darshan Nalkande,DC,Auction,All-rounder,Indian (uncapped),0.30,IPL Official Website
Ajay Mandal,DC,Auction,All-rounder,Indian (uncapped),0.30,IPL Official Website
Manvanth Kumar L,DC,Auction,All-rounder,Indian (uncapped),0.30,IPL Official Website
Tripurana Vijay,DC,Auction,All-rounder,Indian (uncapped),0.30,IPL Official Website
Nishant Sindhu,GT,Auction,All-rounder,Indian (uncapped),0.30,IPL Official Website
Anuj Rawat,GT,Auction,Batter/Wicketkeeper,Indian (uncapped),0.30,IPL Official Website
Manav Suthar,GT,Auction,Bowler,Indian (uncapped),0.30,IPL Official Website
Kulwant Khejroliya,GT,Auction,Bowler,Indian (uncapped),0.30,IPL Official Website
Mayank Markande,KKR,Auction,Bowler,Indian (uncapped),0.30,IPL Official Website
Luvnith Sisodia,KKR,Auction,Batter,Indian (uncapped),0.30,IPL Official Website
Aryan Juyal,LSG,Auction,Batter/Wicketkeeper,Indian (uncapped),0.30,IPL Official Website
Himmat Singh,LSG,Auction,Batter,Indian (uncapped),0.30,IPL Official Website
Digvesh Singh,LSG,Auction,Bowler,Indian (uncapped),0.30,IPL Official Website
Akash Singh,LSG,Auction,Bowler,Indian (uncapped),0.30,IPL Official Website
Prince Yadav,LSG,Auction,Bowler,Indian (uncapped),0.30,IPL Official Website
Yuvraj Chaudhary,LSG,Auction,All-rounder,Indian (uncapped),0.30,IPL Official Website
Rajvardhan Hangargekar,LSG,Auction,All-rounder,Indian (uncapped),0.30,IPL Official Website
Arshin Kulkarni,LSG,Auction,All-rounder,Indian (uncapped),0.30,IPL Official Website
Ashwani Kumar,MI,Auction,Bowler,Indian (uncapped),0.30,IPL Official Website
Shrijith Krishnan,MI,Auction,Bowler,Indian (uncapped),0.30,IPL Official Website
Raj Angad Bawa,MI,Auction,All-rounder,Indian (uncapped),0.30,IPL Official Website
V Satyanarayana Penmetsa,MI,Auction,Bowler,Indian (uncapped),0.30,IPL Official Website
Bevon Jacobs,MI,Auction,Batter,Overseas (uncapped),0.30,IPL Official Website
Arjun Tendulkar,MI,Auction,Bowler,Indian (uncapped),0.30,IPL Official Website
Vignesh Puthur,MI,Auction,All-rounder,Indian (uncapped),0.30,IPL Official Website
Harnoor Pannu,PBKS,Auction,Batter,Indian (uncapped),0.30,IPL Official Website
Suryansh Shedge,PBKS,Auction,All-rounder,Indian (uncapped),0.30,IPL Official Website
Musheer Khan,PBKS,Auction,All-rounder,Indian (uncapped),0.30,IPL Official Website
Pyla Avinash,PBKS,Auction,Batter,Indian (uncapped),0.30,IPL Official Website
Pravin Dubey,PBKS,Auction,All-rounder,Indian (uncapped),0.30,IPL Official Website
Kumar Kartikeya,RR,Auction,Bowler,Indian (uncapped),0.30,IPL Official Website
Ashok Sharma,RR,Auction,Bowler,Indian (uncapped),0.30,IPL Official Website
Kunal Rathore,RR,Auction,Batter,Indian (uncapped),0.30,IPL Official Website
Manoj Bhandage,RCB,Auction,Bowler,Indian (uncapped),0.30,IPL Official Website
Swastik Chikara,RCB,Auction,Batter,Indian (uncapped),0.30,IPL Official Website
Mohit Rathee,RCB,Auction,Bowler,Indian (uncapped),0.30,IPL Official Website
Abhinandan Singh,RCB,Auction,Bowler,Indian (uncapped),0.30,IPL Official Website
Atharva Taide,SRH,Auction,All-rounder,Indian (uncapped),0.30,IPL Official Website
Aniket Verma,SRH,Auction,Batter,Indian (uncapped),0.30,IPL Official Website
Sachin Baby,SRH,Auction,Batter,Indian (uncapped),0.30,IPL Official Website
